Week,Thousand Barrels p/Day
"Jul 07, 1995",7996
"Jul 14, 1995",7866
"Jul 21, 1995",8483
"Jul 28, 1995",8213
"Aug 04, 1995",8402
"Aug 11, 1995",7628
"Aug 18, 1995",8411
"Aug 25, 1995",8206
"Sep 01, 1995",7825
"Sep 08, 1995",8078
"Sep 15, 1995",8249
"Sep 22, 1995",7821
"Sep 29, 1995",7257
"Oct 06, 1995",8106
"Oct 13, 1995",7879
"Oct 20, 1995",7712
"Oct 27, 1995",8103
"Nov 03, 1995",7449
"Nov 10, 1995",8477
"Nov 17, 1995",8021
"Nov 24, 1995",7840
"Dec 01, 1995",7439
"Dec 08, 1995",7949
"Dec 15, 1995",7489
"Dec 22, 1995",8115
"Dec 29, 1995",7035
"Jan 05, 1996",7958
"Jan 12, 1996",7513
"Jan 19, 1996",6949
"Jan 26, 1996",7393
"Feb 02, 1996",7513
"Feb 09, 1996",7520
"Feb 16, 1996",7868
"Feb 23, 1996",7826
"Mar 01, 1996",7338
"Mar 08, 1996",7877
"Mar 15, 1996",7757
"Mar 22, 1996",7900
"Mar 29, 1996",7568
"Apr 05, 1996",7280
"Apr 12, 1996",7804
"Apr 19, 1996",7433
"Apr 26, 1996",8079
"May 03, 1996",7592
"May 10, 1996",8267
"May 17, 1996",7512
"May 24, 1996",8080
"May 31, 1996",7836
"Jun 07, 1996",7946
"Jun 14, 1996",7957
"Jun 21, 1996",7956
"Jun 28, 1996",8563
"Jul 05, 1996",8015
"Jul 12, 1996",7968
"Jul 19, 1996",8152
"Jul 26, 1996",8067
"Aug 02, 1996",8279
"Aug 09, 1996",7722
"Aug 16, 1996",7818
"Aug 23, 1996",8364
"Aug 30, 1996",8369
"Sep 06, 1996",7843
"Sep 13, 1996",7537
"Sep 20, 1996",8000
"Sep 27, 1996",7619
"Oct 04, 1996",7935
"Oct 11, 1996",7637
"Oct 18, 1996",7958
"Oct 25, 1996",7991
"Nov 01, 1996",7682
"Nov 08, 1996",7804
"Nov 15, 1996",8073
"Nov 22, 1996",7883
"Nov 29, 1996",7370
"Dec 06, 1996",7706
"Dec 13, 1996",8355
"Dec 20, 1996",8051
"Dec 27, 1996",7740
"Jan 03, 1997",7122
"Jan 10, 1997",7440
"Jan 17, 1997",7408
"Jan 24, 1997",7265
"Jan 31, 1997",7125
"Feb 07, 1997",7013
"Feb 14, 1997",7530
"Feb 21, 1997",8011
"Feb 28, 1997",7779
"Mar 07, 1997",7417
"Mar 14, 1997",8125
"Mar 21, 1997",7729
"Mar 28, 1997",7492
"Apr 04, 1997",8115
"Apr 11, 1997",7791
"Apr 18, 1997",7914
"Apr 25, 1997",7922
"May 02, 1997",8224
"May 09, 1997",7765
"May 16, 1997",8253
"May 23, 1997",8088
"May 30, 1997",8154
"Jun 06, 1997",7590
"Jun 13, 1997",8009
"Jun 20, 1997",8557
"Jun 27, 1997",8234
"Jul 04, 1997",8489
"Jul 11, 1997",8606
"Jul 18, 1997",8595
"Jul 25, 1997",8600
"Aug 01, 1997",8290
"Aug 08, 1997",8253
"Aug 15, 1997",8539
"Aug 22, 1997",7922
"Aug 29, 1997",8695
"Sep 05, 1997",8053
"Sep 12, 1997",8215
"Sep 19, 1997",7746
"Sep 26, 1997",8140
"Oct 03, 1997",8379
"Oct 10, 1997",8221
"Oct 17, 1997",8315
"Oct 24, 1997",7741
"Oct 31, 1997",8355
"Nov 07, 1997",8025
"Nov 14, 1997",7793
"Nov 21, 1997",8043
"Nov 28, 1997",7578
"Dec 05, 1997",8437
"Dec 12, 1997",7955
"Dec 19, 1997",8151
"Dec 26, 1997",8201
"Jan 02, 1998",7832
"Jan 09, 1998",7673
"Jan 16, 1998",7779
"Jan 23, 1998",7940
"Jan 30, 1998",7670
"Feb 06, 1998",7673
"Feb 13, 1998",8201
"Feb 20, 1998",8005
"Feb 27, 1998",7662
"Mar 06, 1998",7744
"Mar 13, 1998",8103
"Mar 20, 1998",7753
"Mar 27, 1998",7996
"Apr 03, 1998",8992
"Apr 10, 1998",8031
"Apr 17, 1998",8303
"Apr 24, 1998",8118
"May 01, 1998",8190
"May 08, 1998",7503
"May 15, 1998",8524
"May 22, 1998",8337
"May 29, 1998",8205
"Jun 05, 1998",8312
"Jun 12, 1998",8103
"Jun 19, 1998",8160
"Jun 26, 1998",8644
"Jul 03, 1998",8755
"Jul 10, 1998",8234
"Jul 17, 1998",8749
"Jul 24, 1998",8125
"Jul 31, 1998",8997
"Aug 07, 1998",8317
"Aug 14, 1998",8981
"Aug 21, 1998",8288
"Aug 28, 1998",8607
"Sep 04, 1998",8713
"Sep 11, 1998",8722
"Sep 18, 1998",7873
"Sep 25, 1998",8359
"Oct 02, 1998",8058
"Oct 09, 1998",8797
"Oct 16, 1998",8049
"Oct 23, 1998",8099
"Oct 30, 1998",8360
"Nov 06, 1998",8195
"Nov 13, 1998",7711
"Nov 20, 1998",8381
"Nov 27, 1998",8313
"Dec 04, 1998",8162
"Dec 11, 1998",8314
"Dec 18, 1998",8588
"Dec 25, 1998",8153
"Jan 01, 1999",8519
"Jan 08, 1999",7385
"Jan 15, 1999",7810
"Jan 22, 1999",8186
"Jan 29, 1999",7866
"Feb 05, 1999",7532
"Feb 12, 1999",8756
"Feb 19, 1999",7948
"Feb 26, 1999",8316
"Mar 05, 1999",8273
"Mar 12, 1999",8451
"Mar 19, 1999",8367
"Mar 26, 1999",8337
"Apr 02, 1999",7959
"Apr 09, 1999",7878
"Apr 16, 1999",8066
"Apr 23, 1999",8923
"Apr 30, 1999",7825
"May 07, 1999",8059
"May 14, 1999",8761
"May 21, 1999",8275
"May 28, 1999",8401
"Jun 04, 1999",8193
"Jun 11, 1999",8827
"Jun 18, 1999",8522
"Jun 25, 1999",9045
"Jul 02, 1999",9076
"Jul 09, 1999",8679
"Jul 16, 1999",8622
"Jul 23, 1999",8639
"Jul 30, 1999",8537
"Aug 06, 1999",8644
"Aug 13, 1999",8519
"Aug 20, 1999",8415
"Aug 27, 1999",8810
"Sep 03, 1999",8778
"Sep 10, 1999",8593
"Sep 17, 1999",8504
"Sep 24, 1999",8865
"Oct 01, 1999",8557
"Oct 08, 1999",8433
"Oct 15, 1999",8406
"Oct 22, 1999",8521
"Oct 29, 1999",8532
"Nov 05, 1999",8333
"Nov 12, 1999",8416
"Nov 19, 1999",8404
"Nov 26, 1999",8416
"Dec 03, 1999",7670
"Dec 10, 1999",8557
"Dec 17, 1999",8638
"Dec 24, 1999",8590
"Dec 31, 1999",8851
"Jan 07, 2000",7907
"Jan 14, 2000",7543
"Jan 21, 2000",7919
"Jan 28, 2000",8385
"Feb 04, 2000",7642
"Feb 11, 2000",8375
"Feb 18, 2000",8524
"Feb 25, 2000",8072
"Mar 03, 2000",7608
"Mar 10, 2000",8662
"Mar 17, 2000",8201
"Mar 24, 2000",8384
"Mar 31, 2000",7896
"Apr 07, 2000",8655
"Apr 14, 2000",8557
