Date,Week,ThousandBarrelsPerDay
"Nov 13, 2015",202,9054
"Nov 20, 2015",203,8921
"Nov 27, 2015",204,9281
"Dec 04, 2015",205,9420
"Dec 11, 2015",206,9220
"Dec 18, 2015",207,9185
"Dec 25, 2015",208,9395
"Jan 01, 2016",209,8159
"Jan 08, 2016",210,8500
"Jan 15, 2016",211,9079
"Jan 22, 2016",212,8941
"Jan 29, 2016",213,8341
"Feb 05, 2016",214,9122
"Feb 12, 2016",215,9203
"Feb 19, 2016",216,9576
"Feb 26, 2016",217,9121
"Mar 04, 2016",218,9411
"Mar 11, 2016",219,9458
"Mar 18, 2016",220,9503
"Mar 25, 2016",221,9244
"Apr 01, 2016",222,9224
"Apr 08, 2016",223,9633
"Apr 15, 2016",224,9444
"Apr 22, 2016",225,9315
"Apr 29, 2016",226,9502
"May 06, 2016",227,9658
"May 13, 2016",228,9755
"May 20, 2016",229,9516
"May 27, 2016",230,9716
"Jun 03, 2016",231,9568
"Jun 10, 2016",232,9762
"Jun 17, 2016",233,9815
"Jun 24, 2016",234,9709
"Jul 01, 2016",235,9755
"Jul 08, 2016",236,9671
"Jul 15, 2016",237,9785
"Jul 22, 2016",238,9797
"Jul 29, 2016",239,9752
"Aug 05, 2016",240,9769
"Aug 12, 2016",241,9762
"Aug 19, 2016",242,9659
"Aug 26, 2016",243,9511
"Sep 02, 2016",244,9595
"Sep 09, 2016",245,9406
"Sep 16, 2016",246,9650
"Sep 23, 2016",247,8880
"Sep 30, 2016",248,9390
"Oct 07, 2016",249,9264
"Oct 14, 2016",250,8798
"Oct 21, 2016",251,9118
"Oct 28, 2016",252,9183
"Nov 04, 2016",253,9213
"Nov 11, 2016",254,9359
"Nov 18, 2016",255,9024
"Nov 25, 2016",256,9080
"Dec 02, 2016",257,8757
"Dec 09, 2016",258,8874
"Dec 16, 2016",259,9269
"Dec 23, 2016",260,9278
"Dec 30, 2016",261,8465
"Jan 06, 2017",262,8470
"Jan 13, 2017",263,8069
"Jan 20, 2017",264,8039
"Jan 27, 2017",265,8310
"Feb 03, 2017",266,8941
"Feb 10, 2017",267,8433
"Feb 17, 2017",268,8663
"Feb 24, 2017",269,8686
"Mar 03, 2017",270,9268
"Mar 10, 2017",271,9254
"Mar 17, 2017",272,9200
"Mar 24, 2017",273,9524
"Mar 31, 2017",274,9245
"Apr 07, 2017",275,9275
"Apr 14, 2017",276,9223
"Apr 21, 2017",277,9206
"Apr 28, 2017",278,9156
"May 05, 2017",279,9408
"May 12, 2017",280,9452
"May 19, 2017",281,9704
"May 26, 2017",282,9822
"Jun 02, 2017",283,9317
"Jun 09, 2017",284,9269
"Jun 16, 2017",285,9816
"Jun 23, 2017",286,9538
"Jun 30, 2017",287,9705
"Jul 07, 2017",288,9786
"Jul 14, 2017",289,9592
"Jul 21, 2017",290,9821
"Jul 28, 2017",291,9842
"Aug 04, 2017",292,9797
"Aug 11, 2017",293,9522
"Aug 18, 2017",294,9629
"Aug 25, 2017",295,9846
"Sep 01, 2017",296,9163
"Sep 08, 2017",297,9619
"Sep 15, 2017",298,9441
"Sep 22, 2017",299,9522
"Sep 29, 2017",300,9241
"Oct 06, 2017",301,9480
"Oct 13, 2017",302,9136
"Oct 20, 2017",303,9314
"Oct 27, 2017",304,9461
"Nov 03, 2017",305,9496
"Nov 10, 2017",306,9172
"Nov 17, 2017",307,9595
"Nov 24, 2017",308,8724
"Dec 01, 2017",309,8895
"Dec 08, 2017",310,9091
"Dec 15, 2017",311,9426
"Dec 22, 2017",312,9485
"Dec 29, 2017",313,8650
"Jan 05, 2018",314,8814
"Jan 12, 2018",315,8668
"Jan 19, 2018",316,8697
"Jan 26, 2018",317,9044
"Feb 02, 2018",318,9110
"Feb 09, 2018",319,9059
"Feb 16, 2018",320,9002
"Feb 23, 2018",321,8860
"Mar 02, 2018",322,9276
"Mar 09, 2018",323,9642
"Mar 16, 2018",324,9324
"Mar 23, 2018",325,9208
"Mar 30, 2018",326,9203
"Apr 06, 2018",327,9273
"Apr 13, 2018",328,9857
"Apr 20, 2018",329,9083
"Apr 27, 2018",330,9090
"May 04, 2018",331,9775
"May 11, 2018",332,9531
"May 18, 2018",333,9689
"May 25, 2018",334,9689
"Jun 01, 2018",335,8976
"Jun 08, 2018",336,9879
"Jun 15, 2018",337,9326
"Jun 22, 2018",338,9731
"Jun 29, 2018",339,9869
"Jul 06, 2018",340,9275
"Jul 13, 2018",341,9708
"Jul 20, 2018",342,9846
"Jul 27, 2018",343,9878
"Aug 03, 2018",344,9346
"Aug 10, 2018",345,9512
"Aug 17, 2018",346,9453
"Aug 24, 2018",347,9899
"Aug 31, 2018",348,9734
"Sep 07, 2018",349,9649
"Sep 14, 2018",350,9534
"Sep 21, 2018",351,8987
"Sep 28, 2018",352,9102
"Oct 05, 2018",353,9078
"Oct 12, 2018",354,9182
"Oct 19, 2018",355,9324
"Oct 26, 2018",356,9262
"Nov 02, 2018",357,9099
"Nov 09, 2018",358,9192
"Nov 16, 2018",359,9185
"Nov 23, 2018",360,9188
"Nov 30, 2018",361,8877
"Dec 07, 2018",362,9036
"Dec 14, 2018",363,9243
"Dec 21, 2018",364,9348
"Dec 28, 2018",365,8623
"Jan 04, 2019",366,8735
"Jan 11, 2019",367,8565
"Jan 18, 2019",368,8868
"Jan 25, 2019",369,9564
"Feb 01, 2019",370,9073
"Feb 08, 2019",371,8648
"Feb 15, 2019",372,8800
"Feb 22, 2019",373,8981
"Mar 01, 2019",374,9062
"Mar 08, 2019",375,9140
"Mar 15, 2019",376,9409
"Mar 22, 2019",377,9124
"Mar 29, 2019",378,9131
"Apr 05, 2019",379,9806
"Apr 12, 2019",380,9420
"Apr 19, 2019",381,9409
"Apr 26, 2019",382,9228
"May 03, 2019",383,9871
"May 10, 2019",384,9148
"May 17, 2019",385,9429
"May 24, 2019",386,9394
"May 31, 2019",387,9441
"Jun 07, 2019",388,9877
"Jun 14, 2019",389,9928
"Jun 21, 2019",390,9466
"Jun 28, 2019",391,9492
"Jul 05, 2019",392,9754
"Jul 12, 2019",393,9214
"Jul 19, 2019",394,9673
"Jul 26, 2019",395,9559
"Aug 02, 2019",396,9651
"Aug 09, 2019",397,9932
"Aug 16, 2019",398,9626
"Aug 23, 2019",399,9900
"Aug 30, 2019",400,9471
"Sep 06, 2019",401,9807
"Sep 13, 2019",402,8939
"Sep 20, 2019",403,9346
"Sep 27, 2019",404,9137
"Oct 04, 2019",405,9460
"Oct 11, 2019",406,9354
"Oct 18, 2019",407,9590
"Oct 25, 2019",408,9784
"Nov 01, 2019",409,9145
"Nov 08, 2019",410,9321
"Nov 15, 2019",411,9192
"Nov 22, 2019",412,9204
"Nov 29, 2019",413,9032
"Dec 06, 2019",414,8882
"Dec 13, 2019",415,9411
"Dec 20, 2019",416,9303
"Dec 27, 2019",417,8961
